N_da_SC;Cod_Obra;Cod_insumo;Descricao_do_insumo;Qt_solicitada;Data_da_SC;Data_SC_chegada_a_obra;N_do_PC;Data_aprovacao_da_NT;Data_emissao_do_PC;Previsao_de_entrega;Quant_entregue;Saldo;Data_da_NF;N_da_NF;Data_entrada_na_obra;Data_vencimento;Status_da_NF
SC0001452;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";150.0;29/11/2023;14/12/2023;PC0000067;07/12/2023;12/12/2023;;13.47;136.53;10/11/2023;484802;;23/01/2024;Aprovado
SC0001452;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";150.0;29/11/2023;14/12/2023;PC0000067;07/12/2023;12/12/2023;;13.39;136.61;10/11/2023;484855;;23/01/2024;Aprovado
SC0001452;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";150.0;29/11/2023;14/12/2023;PC0000067;07/12/2023;12/12/2023;;13.52;136.48;11/11/2023;484946;;23/01/2024;Aprovado
SC0001452;32633;C150484;"BRITA; APLICACAO: CONSTRUCAO EM GERAL; TAMANHO: GRADUADA.";150.0;29/11/2023;14/12/2023;PC0000067;07/12/2023;12/12/2023;;12.54;137.46;13/11/2023;485050;;23/01/2024;Aprovado
SC0003318;31087;C554676;"CAFE; FORTE; PONTO DE TORRA: TRADICIONAL; FORNECIMENTO: PACOTE 250 GRAMAS; FAB: MELITTA; FAB: SANTA CLARA.";40.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;40.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C174534;"ESPONJA LIMPEZA; DUPLA FACE; COR: VERDE/AMARELA; FORMATO: RETANGULAR; FORNECIMENTO: PACOTE 4 UNIDADES; REQUISITOS ADICIONAIS: DIMENSOES 71 X 100 MM.";60.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;60.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C279319;"ESPONJA LIMPEZA; PESADA; COR: VERDE/AMARELA; FORMATO: RETANGULAR; FORNECIMENTO: PACOTE 1 UNIDADE; FAB: 3M - REF: SCOTCH BRITE.";20.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;20.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C174906;"PANO LIMPEZA; SACO ALVEJADO; MATERIAL: ALGODAO; COR: BRANCO; DIMENSOES: 600 X 800 MM; FORNECIMENTO: INDIVIDUAL; REQUISITOS ADICIONAIS: S/ALCA; CAPACIDADE: 60KG.";75.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;75.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C152745;"AGUA SANITARIA; FORNECIMENTO: FRASCO 1000 ML; REQUISITOS ADICIONAIS: SUPER CANDIDA; FAB: ANHEMBI - REF: SUPER CANDIDA; FAB: RAYMUNDO DA FONTE - REF: BRILUX; FAB: ANHEMBI - REF: Q BOA FLORAL; FAB: MONTENEGRO.";240.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;240.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C951983;"SABAO; APRESENTACAO: PO; NEUTRO; APLICACAO: USO GERAL; EMBALAGEM: CAIXA 500 G; FAB: UNILEVER - REF: OMO.";54.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;54.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C138982;"PAPEL HIGIENICO; FOLHA: DUPLA; COR: BRANCO; PERFUME: NEUTRO; DIMENSOES: 0,10 X 30 M; FORNECIMENTO: PACOTE 4 ROLOS.";40.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;40.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C172732;"VASSOURA; MATERIAL: PIACAVA; CABO: MONTADO LONGO; DIMENSOES: 400 MM; REQUISITOS ADICIONAIS: TIPO PREFEITURA.";10.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;10.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1243085;"PULVERIZADOR; COSTAL; MATERIAL DO TANQUE: PLASTICO; VOLUME DO TANQUE: 20 LITROS; ACIONAMENTO: MANUAL; FAB: MACROTOP - REF: MPM 200.";15.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;15.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1064219;"CERA PISO; APLICACAO: USO GERAL; APRESENTACAO: PASTA; COR: INCOLOR; EMBALAGEM: LATA 400 G.";5.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;5.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C152295;"SUPORTE COPO DESCARTAVEL; COPO: AGUA 200 ML; MATERIAL: PVC; FIXACAO: PARAFUSO.";25.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;25.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1003981;"SACO LIXO; APLICACAO: USO GERAL; MATERIAL: PLASTICO; COR: TRANSPARENTE; BOCA: NORMAL; CAPACIDADE: 20 LITROS; FORNECIMENTO: PACOTE 100 UNIDADES.";30.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;30.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1002263;"SABAO; APRESENTACAO: LIQUIDO; NEUTRO; APLICACAO: USO GERAL; EMBALAGEM: GALAO 5 L.";6.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;6.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C372555;"ACUCAR; REFINADO; FORNECIMENTO: SACHE 6 GRAMAS/CAIXA 1000 UNID.";2.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;2.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C767131;"PAPEL TOALHA; INTERFOLHA; FOLHA: SIMPLES; ACABAMENTO: LISO; COR: BRANCO; DIMENSOES: 20,0 X 22,5 CM; EMBALAGEM: PACOTE C/2000 FOLHAS.";2.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;2.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C676907;"ESPONJA LIMPEZA; ACO; COR: VERDE; FORMATO: RETANGULAR; FORNECIMENTO: PACOTE 3 UNIDADES; REQUISITOS ADICIONAIS: FIBRACO GROSSO.";14.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;14.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1002250;"SACO LIXO; APLICACAO: USO GERAL; MATERIAL: PLASTICO; COR: TRANSPARENTE; BOCA: NORMAL; CAPACIDADE: 240 LITROS; FORNECIMENTO: PACOTE 100 UNIDADES.";20.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;20.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C174749;"GUARDANAPO; MATERIAL: PAPEL; ACABAMENTO: LISO; COR: BRANCO; DIMENSOES: 23,0 X 23,0 CM; FORNECIMENTO: CAIXA COM 4000 UNIDADES; REQUISITOS ADICIONAIS: FOLHA SIMPLES DOBRADA.";75.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;75.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C739594;"DETERGENTE INDUSTRIAL; CONCENTRADO; APLICACAO: VEICULOS; APRESENTACAO: LIQUIDO; FORNECIMENTO: GALAO 5 LITROS; REQUISITOS ADICIONAIS: TLA.";6.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;6.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C924715;"SAL; REFINADO; FORNECIMENTO: SACHET C/2000 UNIDADES.";1.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;1.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003318;31087;C1020758;"LIMPADOR SUPERFICIE; MULTI USO; APRESENTACAO: PO; VERSAO: TRADICIONAL; FORNECIMENTO: POTE 300 G; REQUISITOS ADICIONAIS: SAPOLIO.";5.0;15/02/2024;06/02/2024;PC0000533;20/02/2024;21/02/2024;;5.0;0.0;15/12/2023;18458;;29/02/2024;Aprovado
SC0003347;31087;C510756;"OLEO COMBUSTIVEL; DIESEL TIPO B S500; FORNECIMENTO: A GRANEL.";140.45;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;140.45;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C510756;"OLEO COMBUSTIVEL; DIESEL TIPO B S500; FORNECIMENTO: A GRANEL.";91.24;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;91.24;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C1141163;"OLEO COMBUSTIVEL; DIESEL TIPO S10; FORNECIMENTO: A GRANEL.";116.494;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;116.494;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0002720;32633;C767593;"ACUCAR; CRISTAL; FORNECIMENTO: PACOTE 1 KG.";5.0;18/01/2024;02/02/2024;PC0000331;19/01/2024;22/01/2024;;5.0;0.0;23/01/2024;23151;;29/02/2024;Aprovado
SC0002720;32633;C152745;"AGUA SANITARIA; FORNECIMENTO: FRASCO 1000 ML; REQUISITOS ADICIONAIS: SUPER CANDIDA; FAB: ANHEMBI - REF: SUPER CANDIDA; FAB: RAYMUNDO DA FONTE - REF: BRILUX; FAB: ANHEMBI - REF: Q BOA FLORAL; FAB: MONTENEGRO.";24.0;18/01/2024;02/02/2024;PC0000331;19/01/2024;22/01/2024;;24.0;0.0;23/01/2024;23151;;29/02/2024;Aprovado
SC0002720;32633;C379648;"CAFE; FORTE; PONTO DE TORRA: TRADICIONAL; FORNECIMENTO: FRASCO 500 GRAMAS; FAB: PILAO.";40.0;18/01/2024;02/02/2024;PC0000331;19/01/2024;22/01/2024;;40.0;0.0;23/01/2024;23151;;29/02/2024;Aprovado
SC0002378;32048;C292205;"DISCO CORTE DIAMANTADO; CORTE: SECO; ANEL: CONTINUO; APLICACAO: CERAMICA/MARMORE; DIAMETRO EXTERNO: 110,0 MM; DIAMETRO DO FURO: 20,0 MM; FAB: VONDER.";10.0;11/01/2024;18/01/2024;PC0000321;19/01/2024;22/01/2024;;10.0;0.0;22/01/2024;171526;;08/02/2024;Aprovado
SC0002739;32048;C1211274;"MANTA ASFALTICA; FITA; ESTRUTURANTE: ALUMINIO; LARGURA: 500 MM; COMPRIMENTO: 50000 MM; FAB: VIAPOL - REF: MANTEX.";10.0;18/01/2024;01/02/2024;PC0000343;22/01/2024;22/01/2024;;10.0;0.0;24/01/2024;6805;;;Excluida
SC0002739;32048;C447222;"FITA ADESIVA; SIMPLES; MATERIAL: PAPEL CREPE; COR: CREME; APARELHO: SEM APARELHO; DIMENSOES: 48 MM X 50 M; FORNECIMENTO: INDIVIDUAL.";72.0;18/01/2024;01/02/2024;PC0000343;22/01/2024;22/01/2024;;72.0;0.0;24/01/2024;6805;;;Excluida
SC0003308;32633;C1020779;"TUBO CONCRETO; APLICACAO: AGUA PLUVIAL; PADRA; CLASSE: PA-2; EXTREMIDADE: PONTA/BOLSA; DIAMETRO NOMINAL: 1000 MM; COMPRIMENTO: 1500 MM; REQUISITOS ADICIONAIS: ESPESSURA 120MM.";14.0;15/02/2024;01/03/2024;PC0000495;15/02/2024;15/02/2024;;14.0;0.0;15/02/2024;8782;;26/03/2024;Aprovado
SC0003321;02040;C1116003;"VIDRO; FORMATO: RETANGULAR; LAMINADO; TRANSPARENCIA: TRANSLUCIDO; COR: VERDE; SUPERFICIE: LISO; ESPESSURA: 6,0 MM; LARGURA: 2140 MM; COMPRIMENTO: 3300 MM; REQUISITOS ADICIONAIS: COM PVB.";1.5;15/02/2024;01/03/2024;PC0000522;19/02/2024;27/02/2024;;1.5;0.0;19/01/2024;8843;;26/03/2024;Aprovado
SC0002423;32048;C1002990;"PERFIL TUBULAR; FORMATO: RETANGULAR; MATERIAL: ACO CARBONO ASTM A36; FABRICACAO: SEM COSTURA; TRATAMENTO SUPERFICIAL: SEM TRATAMENTO; PADRAO DIMENSIONAL:  DIMENSOES: 40 X 60 MM; ESPESSURA: 2,0 MM; COMPRIMENTO: 6000 MM; REQUISITOS ADICIONAIS: TUBO P/FINS INDUSTRIAIS; PRETO, PONTA LISA.";34.0;12/01/2024;27/01/2024;PC0000310;18/01/2024;19/01/2024;;34.0;0.0;10/01/2024;6352;;23/01/2024;Aprovado
SC0002423;32048;C1087438;"PERFIL TUBULAR; FORMATO: RETANGULAR; MATERIAL: ACO CARBONO ASTM A36; FABRICACAO: COM COSTURA; TRATAMENTO SUPERFICIAL: SEM TRATAMENTO; PADRAO DIMENSIONAL: A DIMENSOES: 20 X 40 MM; ESPESSURA: 1,2 MM; COMPRIMENTO: 6000 MM.";37.0;12/01/2024;27/01/2024;PC0000310;18/01/2024;19/01/2024;;37.0;0.0;10/01/2024;6351;;23/01/2024;Aprovado
SC0002600;31087;C944351;"COLCHA CAMA; SOLTEIRO; TECIDO: MALHA 100% ALGODAO; COR: BEGE OFF WHITE; DIMENSOES: 1800 X 2400 MM; FORNECIMENTO: JOGO 2 PECAS; REQUISITOS ADICIONAIS: UNIQUE.";15.0;15/01/2024;30/01/2024;PC0000365;23/01/2024;26/01/2024;;15.0;0.0;30/01/2024;424633;;08/02/2024;Aprovado
SC0002600;31087;C1289853;"LENCOL CAMA; SOLTEIRO; TECIDO: MALHA 100% ALGODAO; COR: BRANCO; LENCOL INFERIOR: COM ELASTICO; DIMENSOES: 900 X 2000 X 300 MM; FORNECIMENTO: INDIVIDUAL.";98.0;15/01/2024;30/01/2024;PC0000365;23/01/2024;26/01/2024;;98.0;0.0;30/01/2024;424633;;08/02/2024;Aprovado
SC0002600;31087;C1086991;"LENCOL CAMA; CASADO; TECIDO: MALHA 100% ALGODAO; COR: BRANCO; LENCOL INFERIOR: COM ELASTICO; DIMENSOES: 1580 X 1980 MM; FORNECIMENTO: INDIVIDUAL; REQUISITOS ADICIONAIS: IMPERMEAVEL.";17.0;15/01/2024;30/01/2024;PC0000365;23/01/2024;26/01/2024;;17.0;0.0;30/01/2024;424633;;08/02/2024;Aprovado
SC0002600;31087;C1316534;"FRONHA TRAVESSEIRO; MATERIAL: 100% ALGODAO; COR: BRANCO; DIMENSOES: 600 X 900 MM; REQUISITOS ADICIONAIS: FRONHA DE CASAL.";100.0;15/01/2024;30/01/2024;PC0000365;23/01/2024;26/01/2024;;100.0;0.0;30/01/2024;424633;;08/02/2024;Aprovado
SC0002605;32048;C1165258;"SUPORTE GERAL; TUBO/MAO FRANCESA; APLICACAO: TELA FACHADA; MATERIAL: ACO CARBONO; TAMANHO/DIMENSOES: 7,20 M; REQUISITOS ADICIONAIS: FORCA; C/2,50M DE AVANCO; FAB: PERAME - REF: SLQA.";1.0;15/01/2024;30/01/2024;PC0000301;17/01/2024;17/01/2024;;1.0;0.0;11/01/2024;6787;;23/01/2024;Aprovado
SC0002642;32048;C1625998;"PEDRISCO; APLICACAO: CONSTRUCAO (BRITA 19); COR: NATURAL.";15.64;16/01/2024;31/01/2024;PC0000304;17/01/2024;02/02/2024;;15.64;0.0;10/01/2024;395356;;29/02/2024;Aprovado
SC0003347;31087;C1141163;"OLEO COMBUSTIVEL; DIESEL TIPO S10; FORNECIMENTO: A GRANEL.";137.868;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;137.868;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";259.989;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;259.989;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";71.23;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;71.23;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";42.77;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;42.77;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";66.45;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;66.45;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";84.16;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;84.16;0.0;19/01/2024;2259;;29/02/2024;Aprovado
SC0003347;31087;C152516;"GASOLINA; COMUM; REQUISITOS ADICIONAIS: FORNECIMENTO: A GRANEL.";330.542;16/02/2024;24/02/2024;PC0000510;16/02/2024;18/02/2024;;330.5416;0.0004;19/01/2024;2259;;29/02/2024;Aprovado
SC0003349;32665;C369909;"ADAPTADOR INFORMATICA; DE: VGA AUDIO/VIDEO; PARA: HDMI.";1.0;16/02/2024;02/03/2024;PC0000509;16/02/2024;19/02/2024;;1.0;0.0;18/12/2023;608;;;Excluida
SC0003349;32665;C369909;"ADAPTADOR INFORMATICA; DE: VGA AUDIO/VIDEO; PARA: HDMI.";1.0;16/02/2024;02/03/2024;PC0000509;16/02/2024;19/02/2024;;1.0;0.0;21/02/2024;856;;29/02/2024;Aprovado
SC0003355;32048;C173256;"PISO; MATERIAL: CONCRETO; ACABAMENTO: ANTIDERRAPANTE; QUALIDADE: COMERCIAL; DIMENSOES: 10,0 X 20,0 X 8,0 CM; FABRICANTE: *****; REFERENCIA: *****; REQUISITOS ADICIONAIS: INTERTRAVADO; 35 MPA; NATURAL.";1814.0486;16/02/2024;02/03/2024;PC0000525;19/02/2024;19/02/2024;;1814.0486;0.0;26/01/2024;3324;;29/02/2024;Aprovado
SC0003366;32048;C785227;"MASSA CORRIDA; BASE: PVA; COR: BRANCA; EMBALAGEM: BARRICA 28 KG.";3.0;19/02/2024;05/03/2024;PC0000518;19/02/2024;19/02/2024;;3.0;0.0;14/12/2023;1929932;;26/03/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C1302940;"LUVA LIMPEZA; MATERIAL: LATEX; COR: LARANJA; PALMA: ANTI-DERRAPANTE; FORRO: SEM FORRO; TAMANHO: EG; REQUISITOS ADICIONAIS: DESCARTAVEL.";3.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;1.0;2.0;14/02/2024;50522;;26/03/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C1302940;"LUVA LIMPEZA; MATERIAL: LATEX; COR: LARANJA; PALMA: ANTI-DERRAPANTE; FORRO: SEM FORRO; TAMANHO: EG; REQUISITOS ADICIONAIS: DESCARTAVEL.";3.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;2.0;1.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C436987;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 40; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A; C/GRAVACAO OBRIGATORIA.";15.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;15.0;0.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C546564;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: BORRACHA VULCANIZADA; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: BIQUEIRA DE ACO; TAMANHO: 42; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; SEM FORRO.";10.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;10.0;0.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C436995;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 42/43; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A. C/GRAVACAO OBRIGATORIA; SEM FORRO.";6.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;6.0;0.0;14/02/2024;50522;;26/03/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C174370;"COLETE SINALIZACAO; X; MATERIAL: PVC; COR: LARANJA/BRANCO; TAMANHO: UNICO; REQUISITOS ADICIONAIS: LARANJA C/FAIXAS REFLETIVAS INTEIRICAS BRANCA.";10.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;10.0;0.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C1809612;"CAMISA; MODELO: POLO; MASCULINA; TECIDO: ALGODAO; COR: PRETA; MANGA: CURTA; PUNHO: SEM PUNHO; PALA: SEM PALA; COLARINHO: GOLA POLO; PONTA DO COLARINHO: SEM COLARINHO; DECOTE: 2 BOTOES; BOLSO: SEM BOLSO; LOGOTIPO: BORDADO; TAMANHO: M.";5.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;5.0;0.0;14/02/2024;50522;;26/03/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C1669605;"COLETE SINALIZACAO; SAFARI - MODELO FEMININO; MATERIAL: TECIDO 100% ALGODAO; FECHAMENTO: VELCRO; COR: AMARELO OURO 125; TAMANHO: P; REQUISITOS ADICIONAIS: ALGODAO SANTISTA; COM DIVERSOS BOLSOS E TELA 100% POLIESTER.";30.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;24.0;6.0;14/02/2024;50522;;26/03/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C1669605;"COLETE SINALIZACAO; SAFARI - MODELO FEMININO; MATERIAL: TECIDO 100% ALGODAO; FECHAMENTO: VELCRO; COR: AMARELO OURO 125; TAMANHO: P; REQUISITOS ADICIONAIS: ALGODAO SANTISTA; COM DIVERSOS BOLSOS E TELA 100% POLIESTER.";30.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;4.0;26.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002751;32633;C436990;"BOTA SEGURANCA; USO GERAL; MATERIAL: COURO; REVESTIMENTO: SEM REVESTIMENTO; COR: PRETA; SOLADO: POLIURETANO; PALMILHA: SINTETICA; CANO: CURTO; BIQUEIRA: SEM BIQUEIRA; TAMANHO: 41; REQUISITOS ADICIONAIS: CERTIFICADO APROVACAO: C.A; C/GRAVACAO OBRIGATORIA.";6.0;19/01/2024;03/02/2024;PC0000332;19/01/2024;22/01/2024;;6.0;0.0;23/01/2024;49056;;29/02/2024;Aprovado - NF excluida no IFS
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";148.08;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;148.08;0.0;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";378.659;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;378.6585;0.0005;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";241.91;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;241.91;0.0;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";114.762;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;114.762;0.0;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";188.31;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;188.31;0.0;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C139645;"OLEO COMBUSTIVEL; DIESEL; FORNECIMENTO: A GRANEL.";641.87;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;641.8696;0.0004;22/12/2023;2222;;29/02/2024;Aprovado
SC0002981;31087;C167324;"OLEO LUBRIFICANTE AUTOMOTIVO; APLICACAO: SISTEMA HIDRAULICO/TRANSMISSAO; BASE: MINERAL/ADITIVADO; CLASSE API: GL-5; GRAU SAE: 85W140; PONTO DE FULGOR: 220 GRAUS CELSIUS; PONTO DE FLUIDEZ: - 18 GRAUS CELSIUS; INDICE DE VISCOSIDADE: 107; FORNECIMENTO: BOMBONA 20 L; FAB: IPIRANGA - REF: IPIRGEROL.";2.0;26/01/2024;10/02/2024;PC0000407;30/01/2024;31/01/2024;;2.0;0.0;22/12/2023;2222;;29/02/2024;Aprovado
SC0002980;32633;C384592;"LAPIS CARPINTEIRO; FORMATO: RETANGULAR; CAPA: MADEIRA; NUMERO 2; FORNECIMENTO: CAIXA COM 72 UNIDADES; FAB: FABER CASTELL - REF: 2835; FAB: BRASFORT.";1.0;26/01/2024;10/02/2024;PC0000399;29/01/2024;31/01/2024;;72.0;-71.0;30/01/2024;645199;;29/02/2024;NF devolvida
SC0002980;32633;C842167;"BOMBA ENCHIMENTO PNEU; MANUAL; ACIONAMENTO: PEDAL; MATERIAL CORPO: METALICO; PRESSAO MAXIMA: 90 LBS; DIMENSOES: 260 MM.";1.0;26/01/2024;10/02/2024;PC0000399;29/01/2024;31/01/2024;;1.0;0.0;30/01/2024;645199;;29/02/2024;NF devolvida
SC0002980;32633;C1419203;"CADEADO; HASTE NORMAL; MATERIAL: LATAO/ACO TEMPERADO; REVESTIMENTO: SEM REVESTIMENTO; DESBLOQUEIO: 2 CHAVES SIMPLES; FORNECIMENTO: INDIVIDUAL; TAMANHO: 60 MM; COMPRIMENTO DA FIXACAO: 35 MM; FAB: PADO - REF: E-60.";2.0;26/01/2024;10/02/2024;PC0000399;29/01/2024;31/01/2024;;2.0;0.0;30/01/2024;645199;;29/02/2024;NF devolvida
SC0002652;32048;C1009751;"BLOCO RECADO; ADESIVO; MATERIAL: PAPEL; PAUTA: SEM PAUTA; COR: AMARELO; IMPRESSAO: SEM IMPRESSAO; TAMANHO: 38 X 50 MM; NUMERO DE FOLHAS: 100 FOLHAS; FORNECIMENTO: PACOTE COM 4 BLOCOS; FAB: 3M - REF: POST IT 653.
BLOCO DE REC. 76 X 102 AM C/100 FLS MASTER/MAXPRINT";2.0;17/01/2024;01/02/2024;PC0000319;18/01/2024;25/01/2024;;2.0;0.0;23/01/2024;16995;;08/02/2024;NF devolvida
